R-22
-150.0
0.0005876,6123.7,37.558,335.9
-149.0
0.0005885,5040.7,38.628,336.33
-148.0
0.00058941,4164.1,39.696,336.77
-147.0
0.00059031,3452.1,40.764,337.2
-146.0
0.00059122,2871.6,41.831,337.64
-145.0
0.00059213,2396.8,42.898,338.08
-144.0
0.00059305,2006.9,43.964,338.52
-143.0
0.00059396,1685.8,45.029,338.96
-142.0
0.00059488,1420.5,46.095,339.4
-141.0
0.00059581,1200.6,47.159,339.84
-140.0
0.00059673,1017.7,48.223,340.29
-139.0
0.00059766,865.13,49.287,340.73
-138.0
0.00059859,737.52,50.351,341.18
-137.0
0.00059952,630.46,51.414,341.63
-136.0
0.00060046,540.39,52.477,342.08
-135.0
0.0006014,464.4,53.54,342.53
-134.0
0.00060234,400.12,54.603,342.98
-133.0
0.00060328,345.6,55.666,343.43
-132.0
0.00060423,299.24,56.728,343.89
-131.0
0.00060519,259.72,57.79,344.34
-130.0
0.00060614,225.94,58.853,344.8
-129.0
0.0006071,197.01,59.915,345.26
-128.0
0.00060806,172.17,60.977,345.71
-127.0
0.00060902,150.78,62.039,346.17
-126.0
0.00060999,132.34,63.101,346.63
-125.0
0.00061096,116.39,64.163,347.1
-124.0
0.00061194,102.58,65.225,347.56
-123.0
0.00061292,90.583,66.287,348.02
-122.0
0.0006139,80.148,67.349,348.49
-121.0
0.00061488,71.051,68.411,348.95
-120.0
0.00061587,63.104,69.473,349.42
-119.0
0.00061686,56.15,70.535,349.89
-118.0
0.00061786,50.051,71.597,350.36
-117.0
0.00061886,44.694,72.658,350.83
-116.0
0.00061986,39.978,73.72,351.3
-115.0
0.00062086,35.821,74.782,351.77
-114.0
0.00062187,32.149,75.844,352.25
-113.0
0.00062289,28.9,76.906,352.72
-112.0
0.0006239,26.021,77.967,353.2
-111.0
0.00062492,23.465,79.029,353.67
-110.0
0.00062595,21.192,80.091,354.15
-109.0
0.00062698,19.168,81.152,354.63
-108.0
0.00062801,17.362,82.214,355.11
-107.0
0.00062905,15.75,83.276,355.59
-106.0
0.00063008,14.307,84.337,356.07
-105.0
